Ticker,StartYear,Strategy,StartDate,EndDate,FinalReturn,CAGR,MaxDrawdown,Volatility,Trades,InvestedPct
QQQ,2000,A,2000-01-03,2026-07-24,-0.4522395619625389,-0.0224123400945081,-0.8641341778120077,0.17081831914243575,1729,0.5753855367569995
QQQ,2000,B,2000-01-03,2026-07-24,14.624925992929384,0.1090660716801164,-0.5037332806172493,0.20580709609492195,1730,0.42476418625542745
QQQ,2000,C,2000-01-03,2026-07-24,7.558716306189991,0.08420930569434182,-0.8298192623275722,0.26747603463240593,0,1.0
QQQ,2001,A,2001-01-02,2026-07-24,-0.003994114623551481,-0.00015659493239938982,-0.750272987538622,0.16179632938292857,1657,0.5781857787459157
QQQ,2001,B,2001-01-02,2026-07-24,14.236290372051934,0.11246768766554038,-0.5037332806172489,0.18694835364296128,1656,0.42196981484362844
QQQ,2001,C,2001-01-02,2026-07-24,14.175434881868219,0.11229348086319368,-0.7039786703506528,0.2472143364035662,0,1.0
QQQ,2007,A,2007-01-03,2026-07-24,0.5356799340240204,0.022180590333194417,-0.6508878715534114,0.14315050162649684,1255,0.5965447154471545
QQQ,2007,B,2007-01-03,2026-07-24,11.013619200830215,0.13557480643367503,-0.23934432726937493,0.17020803393711398,1256,0.4036585365853659
QQQ,2007,C,2007-01-03,2026-07-24,17.449073941720734,0.1607625260078771,-0.5340383040630781,0.2223206868109941,0,1.0
QQQ,2008,A,2008-01-02,2026-07-24,0.49412546281608805,0.021873875858074765,-0.6174782681147679,0.14435666017074275,1183,0.5956307560505462
QQQ,2008,B,2008-01-02,2026-07-24,9.551673130305634,0.13538801977911152,-0.23934432726937505,0.17177447243249205,1182,0.4045834225744271
QQQ,2008,C,2008-01-02,2026-07-24,14.765523499301976,0.16022335637450524,-0.4939742698249049,0.2242968395967539,0,1.0
QQQ,2010,A,2010-01-04,2026-07-24,1.9635570642391924,0.06784403393656291,-0.27941585401273794,0.1329139655446908,1039,0.6032660902977905
